id;feature_id;mz;rt;intensity;fwhm;z;source
0;0;505.98672;15.37m;23400000.00;16.20;1;example1.mzXML
1;0;506.99009;15.37m;23400000.00;16.20;1;example1.mzXML
2;0;507.99120;15.37m;23400000.00;16.20;1;example1.mzXML
3;1;332.05748;13.18m;13600000.00;16.80;0;example1.mzXML
4;2;615.72842;15.71m;4560000.00;13.80;2;example1.mzXML
5;2;616.23003;15.71m;4560000.00;13.80;2;example1.mzXML
6;2;616.73102;15.71m;4560000.00;13.80;2;example1.mzXML
7;3;372.08195;13.14m;12900000.00;16.20;0;example1.mzXML
8;4;580.09612;13.65m;11400000.00;15.60;0;example1.mzXML
9;5;265.04169;12.81m;10700000.00;16.80;0;example1.mzXML
10;6;259.02161;12.83m;9560000.00;17.40;1;example1.mzXML
11;6;260.02489;12.83m;9560000.00;17.40;1;example1.mzXML
12;7;565.04581;13.65m;9020000.00;15.60;1;example1.mzXML
13;7;566.04913;13.65m;9020000.00;15.60;1;example1.mzXML
14;7;567.05036;13.65m;9020000.00;15.60;1;example1.mzXML
15;8;623.12925;13.72m;9580000.00;16.80;0;example1.mzXML
16;9;482.95961;15.21m;8710000.00;17.40;1;example1.mzXML
17;9;483.96298;15.21m;8710000.00;17.40;1;example1.mzXML
18;10;595.66138;15.71m;6710000.00;14.40;2;example1.mzXML
19;10;596.16302;15.71m;6710000.00;14.40;2;example1.mzXML
20;10;596.66428;15.71m;6710000.00;14.40;2;example1.mzXML
21;11;550.13375;16.10m;1940000.00;16.80;2;example1.mzXML
22;11;550.63436;16.10m;1940000.00;16.80;2;example1.mzXML
23;12;611.14258;13.52m;7710000.00;13.20;1;example1.mzXML
24;12;612.14629;13.52m;7710000.00;13.20;1;example1.mzXML
25;13;331.07344;13.04m;7960000.00;15.60;0;example1.mzXML
26;14;421.07361;12.96m;7360000.00;16.80;1;example1.mzXML
27;14;422.07684;12.96m;7360000.00;16.80;1;example1.mzXML
28;15;228.16005;18.28m;7380000.00;15.00;1;example1.mzXML
29;15;229.16336;18.28m;7380000.00;15.00;1;example1.mzXML
30;16;491.98967;15.21m;7500000.00;11.40;0;example1.mzXML
31;17;412.02351;14.62m;7450000.00;15.00;0;example1.mzXML
32;18;547.07159;14.00m;6290000.00;13.20;1;example1.mzXML
33;18;548.07596;14.00m;6290000.00;13.20;1;example1.mzXML
34;19;242.17560;19.53m;6450000.00;13.80;1;example1.mzXML
